,time,activity (Hz) pop_A,activity (Hz) pop_B
0,0.0,0.0,0.0
1,10.0,0.0,0.0
2,20.0,0.0,0.0
3,30.0,0.0,0.0
4,40.0,0.0,0.0
5,50.0,0.0,0.0
6,60.0,0.5,0.0
7,70.0,0.0,0.5
8,80.0,0.5,1.0
9,90.0,1.5,0.0
10,100.0,5.0,2.5
11,110.0,6.0,2.0
12,120.0,6.500000000000001,2.0
13,130.0,6.0,2.5
14,140.0,4.5,4.0
15,150.0,6.500000000000001,6.0
16,160.0,8.0,2.0
17,170.0,8.5,4.0
18,180.0,12.5,2.5
19,190.0,17.499999999999996,2.5
20,200.0,9.0,1.5
21,210.0,11.5,0.5
22,220.0,16.5,1.0
23,230.0,30.0,1.5
24,240.0,8.5,0.0
25,250.0,12.0,1.5
26,260.0,30.0,0.0
27,270.0,12.0,0.5
28,280.0,27.500000000000004,1.0
29,290.0,14.000000000000002,0.0
30,300.0,20.0,1.5
31,310.0,20.0,0.5
32,320.0,21.5,0.5
33,330.0,14.000000000000002,0.0
34,340.0,20.999999999999996,0.0
35,350.0,22.0,0.5
36,360.0,27.000000000000004,0.0
37,370.0,20.999999999999996,0.0
38,380.0,25.0,0.5
39,390.0,10.499999999999998,0.0
40,400.0,34.99999999999999,0.0
41,410.0,20.999999999999996,0.5
42,420.0,23.0,0.0
43,430.0,23.5,0.0
44,440.0,24.0,0.0
45,450.0,32.0,1.0
46,460.0,8.5,0.0
47,470.0,30.5,0.5
48,480.0,31.0,0.0
49,490.0,24.5,0.5
50,500.0,28.499999999999996,0.0
51,510.0,28.000000000000004,0.5
52,520.0,25.0,0.0
53,530.0,26.000000000000004,0.0
54,540.0,23.5,0.0
55,550.0,28.499999999999996,0.0
56,560.0,20.0,0.0
57,570.0,32.5,0.0
58,580.0,15.5,0.0
59,590.0,32.0,0.0
60,600.0,24.0,0.0
61,610.0,37.5,0.0
62,620.0,14.000000000000002,0.0
63,630.0,50.5,0.0
64,640.0,4.5,0.0
65,650.0,48.0,0.0
66,660.0,7.000000000000001,0.0
67,670.0,21.5,0.0
68,680.0,25.500000000000004,0.0
69,690.0,29.5,0.0
